kind	lisp_name	c_name	source.path	source.line	arity.min	arity.max	arity.raw_min	arity.raw_max	opcode
bytecode_op	Badd1	Badd1	src/bytecode.c	158					84
bytecode_op	Baref	Baref	src/bytecode.c	146					72
bytecode_op	Baset	Baset	src/bytecode.c	147					73
bytecode_op	Bassq	Bassq	src/bytecode.c	240					158
bytecode_op	Bbobp	Bbobp	src/bytecode.c	187					111
bytecode_op	Bbolp	Bbolp	src/bytecode.c	186					110
bytecode_op	Bbuffer_substring	Bbuffer_substring	src/bytecode.c	200					123
bytecode_op	Bcall	Bcall	src/bytecode.c	109					32
bytecode_op	Bcall1	Bcall1	src/bytecode.c	110					33
bytecode_op	Bcall2	Bcall2	src/bytecode.c	111					34
bytecode_op	Bcall3	Bcall3	src/bytecode.c	112					35
bytecode_op	Bcall4	Bcall4	src/bytecode.c	113					36
bytecode_op	Bcall5	Bcall5	src/bytecode.c	114					37
bytecode_op	Bcall6	Bcall6	src/bytecode.c	115					38
bytecode_op	Bcall7	Bcall7	src/bytecode.c	116					39
bytecode_op	Bcar	Bcar	src/bytecode.c	138					64
bytecode_op	Bcar_safe	Bcar_safe	src/bytecode.c	244					162
bytecode_op	Bcatch	Bcatch	src/bytecode.c	219					141
bytecode_op	Bcdr	Bcdr	src/bytecode.c	139					65
bytecode_op	Bcdr_safe	Bcdr_safe	src/bytecode.c	245					163
bytecode_op	Bchar_after	Bchar_after	src/bytecode.c	178					102
bytecode_op	Bchar_syntax	Bchar_syntax	src/bytecode.c	199					122
bytecode_op	Bconcat2	Bconcat2	src/bytecode.c	154					80
bytecode_op	Bconcat3	Bconcat3	src/bytecode.c	155					81
bytecode_op	Bconcat4	Bconcat4	src/bytecode.c	156					82
bytecode_op	BconcatN	BconcatN	src/bytecode.c	255					176
bytecode_op	Bcondition_case	Bcondition_case	src/bytecode.c	222					143
bytecode_op	Bcons	Bcons	src/bytecode.c	140					66
bytecode_op	Bconsp	Bconsp	src/bytecode.c	132					58
bytecode_op	Bconstant	Bconstant	src/bytecode.c	265					192
bytecode_op	Bconstant2	Bconstant2	src/bytecode.c	206					129
bytecode_op	Bcurrent_buffer	Bcurrent_buffer	src/bytecode.c	188					112
bytecode_op	Bcurrent_column	Bcurrent_column	src/bytecode.c	181					105
bytecode_op	Bdelete_region	Bdelete_region	src/bytecode.c	201					124
bytecode_op	Bdiff	Bdiff	src/bytecode.c	164					90
bytecode_op	Bdiscard	Bdiscard	src/bytecode.c	213					136
bytecode_op	BdiscardN	BdiscardN	src/bytecode.c	261					182
bytecode_op	Bdowncase	Bdowncase	src/bytecode.c	232					151
bytecode_op	Bdup	Bdup	src/bytecode.c	214					137
bytecode_op	Belt	Belt	src/bytecode.c	238					156
bytecode_op	Bend_of_line	Bend_of_line	src/bytecode.c	204					127
bytecode_op	Beobp	Beobp	src/bytecode.c	185					109
bytecode_op	Beolp	Beolp	src/bytecode.c	184					108
bytecode_op	Beq	Beq	src/bytecode.c	135					61
bytecode_op	Beqlsign	Beqlsign	src/bytecode.c	159					85
bytecode_op	Bequal	Bequal	src/bytecode.c	236					154
bytecode_op	Bfollowing_char	Bfollowing_char	src/bytecode.c	179					103
bytecode_op	Bforward_char	Bforward_char	src/bytecode.c	194					117
bytecode_op	Bforward_line	Bforward_line	src/bytecode.c	198					121
bytecode_op	Bforward_word	Bforward_word	src/bytecode.c	195					118
bytecode_op	Bfset	Bfset	src/bytecode.c	151					77
bytecode_op	Bgeq	Bgeq	src/bytecode.c	163					89
bytecode_op	Bget	Bget	src/bytecode.c	152					78
bytecode_op	Bgoto	Bgoto	src/bytecode.c	207					130
bytecode_op	Bgoto_char	Bgoto_char	src/bytecode.c	174					98
bytecode_op	Bgotoifnil	Bgotoifnil	src/bytecode.c	208					131
bytecode_op	Bgotoifnilelsepop	Bgotoifnilelsepop	src/bytecode.c	210					133
bytecode_op	Bgotoifnonnil	Bgotoifnonnil	src/bytecode.c	209					132
bytecode_op	Bgotoifnonnilelsepop	Bgotoifnonnilelsepop	src/bytecode.c	211					134
bytecode_op	Bgtr	Bgtr	src/bytecode.c	160					86
bytecode_op	Bindent_to	Bindent_to	src/bytecode.c	182					106
bytecode_op	Binsert	Binsert	src/bytecode.c	175					99
bytecode_op	BinsertN	BinsertN	src/bytecode.c	256					177
bytecode_op	Bintegerp	Bintegerp	src/bytecode.c	250					168
bytecode_op	Binteractive_p	Binteractive_p	src/bytecode.c	192					116
bytecode_op	Blength	Blength	src/bytecode.c	145					71
bytecode_op	Bleq	Bleq	src/bytecode.c	162					88
bytecode_op	Blist1	Blist1	src/bytecode.c	141					67
bytecode_op	Blist2	Blist2	src/bytecode.c	142					68
bytecode_op	Blist3	Blist3	src/bytecode.c	143					69
bytecode_op	Blist4	Blist4	src/bytecode.c	144					70
bytecode_op	BlistN	BlistN	src/bytecode.c	254					175
bytecode_op	Blistp	Blistp	src/bytecode.c	134					60
bytecode_op	Blss	Blss	src/bytecode.c	161					87
bytecode_op	Bmatch_beginning	Bmatch_beginning	src/bytecode.c	229					148
bytecode_op	Bmatch_end	Bmatch_end	src/bytecode.c	230					149
bytecode_op	Bmax	Bmax	src/bytecode.c	167					93
bytecode_op	Bmember	Bmember	src/bytecode.c	239					157
bytecode_op	Bmemq	Bmemq	src/bytecode.c	136					62
bytecode_op	Bmin	Bmin	src/bytecode.c	168					94
bytecode_op	Bmult	Bmult	src/bytecode.c	169					95
bytecode_op	Bnarrow_to_region	Bnarrow_to_region	src/bytecode.c	202					125
bytecode_op	Bnconc	Bnconc	src/bytecode.c	246					164
bytecode_op	Bnegate	Bnegate	src/bytecode.c	165					91
